车型名称,评分,销量,图片链接,最低价格,最高价格
赛那SIENNA,4.44,49322,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M02/79/95/436x333_autohomecar__ChxoHWYrQRyANDVQAAn17EmQYJ0258.png,29.98,41.08
格瑞维亚,4.52,39570,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M09/37/68/436x333_autohomecar__ChsEbGNpxdSAS4BaAAsWyc_7LfA696.png,29.98,41.68
传祺M8,4.51,34429,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M06/38/68/436x333_autohomecar__ChsEbGNp_PmAJuP2AAkYQToZJCs663.png,17.98,34.28
别克GL8,4.37,27955,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M0A/D2/A7/436x333_autohomecar__ChxkPmcjHl6APPPNAAcnj3A-D_0701.png,23.29,47.39
传祺M6,4.47,20480,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M04/B5/CD/436x333_autohomecar__Chtk2WZi3wKABbQiAAfExdNBIT0615.png,11.98,15.98
奥德赛,4.39,16028,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M0A/08/63/436x333_autohomecar__CjIFU2VwPNKAW9T0AAhR1Ya-qyo429.png,23.58,43.98
五菱佳辰,4.00,12417,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M09/A0/CA/436x333_autohomecar__ChwFj2Ipoy2ARNP7AAazib1f4R4642.png,6.88,11.58
金海狮经典,4.49,9271,https://g.autoimg.cn/@img/car2/cardfs/series/g4/M13/0E/64/436x333_autohomecar__ChsFVmDlRf2ATB4rAAqYU2sT1-0032.png,6.09,10.59
艾力绅,4.50,8347,https://g.autoimg.cn/@img/car3/cardfs/series/g28/M05/C9/25/436x333_autohomecar__ChwFkmG7-DWAMzDOAAa8oiMaPwY727.png,27.98,33.18
大通G50,4.55,7197,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M07/0D/8A/436x333_autohomecar__ChwFj2IhddmAPmmUAAlSmzpFM84295.png,8.68,14.98
威霆,4.29,6974,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M0A/97/79/436x333_autohomecar__Chtk2WbNlbaAMjmvAAoBufOC0F4712.png,29.38,38.68
锐胜王牌M7,4.48,6378,https://g.autoimg.cn/@img/car3/cardfs/series/g27/M02/C5/19/436x333_autohomecar__ChsEbGOPE72APIO6AAhdve5p7go391.png,6.18,15.38
奔驰V级,4.60,5771,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M00/C1/FE/436x333_autohomecar__ChxkPmb6cTmAKyJrAAtqsSnNPLA651.png,47.88,66.98
菱智,4.57,5709,https://g.autoimg.cn/@img/car2/cardfs/series/g18/M0F/7C/48/436x333_autohomecar__ChxksGDr3G2ALw-fAAeoIqh1ciw515.png,5.99,9.99
库斯途,4.47,5080,https://g.autoimg.cn/@img/car3/cardfs/series/g7/M0D/C2/96/436x333_autohomecar__Chxks2FRKKmAe6tbAAZpYZlpdgo013.png,16.98,22.08
威然,4.56,5063,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M02/42/FF/436x333_autohomecar__ChwFj2IVmHaAZ5c5AE38jTJzm4E750.png,28.98,40.28
世纪,4.55,4609,https://g.autoimg.cn/@img/car2/cardfs/series/g29/M02/83/6D/436x333_autohomecar__ChsFVWNgjJOANc3LAAjTYIpaoT8446.png,46.99,68.99
五菱征程,4.43,2233,https://g.autoimg.cn/@img/car3/cardfs/series/g5/M0D/FF/97/436x333_autohomecar__ChsF3WEsR_CAKH9xAAbwYNT0xa4231.png,6.98,9.08
红旗HQ9,4.53,1563,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M07/F9/98/436x333_autohomecar__ChsFJ2L2d1yABhcWAFrl_ZWn3XQ989.png,35.88,53.88
大通G10,4.60,1319,https://g.autoimg.cn/@img/car3/cardfs/series/g24/M04/29/88/436x333_autohomecar__ChcCL1qnPRuAcOtIAAWByYVxQ5s350.png,10.80,19.08
风光380,4.47,1245,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M07/8B/E7/436x333_autohomecar__ChsFJ2JeRwCAaYOwAA0SJv70YEw591.png,5.28,6.08
五菱凯捷,4.44,1062,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M00/FA/53/436x333_autohomecar__ChsEmF8NR-CASmf3AAgzSYhv250002.png,8.58,14.98
嘉华,4.46,924,https://g.autoimg.cn/@img/car3/cardfs/series/g4/M00/15/C0/436x333_autohomecar__ChwElmEogVuAAGdNAAjqvq3X8YA451.png,28.99,34.09
荣威iMAX8,4.61,911,https://g.autoimg.cn/@img/car3/cardfs/series/g24/M07/48/A4/436x333_autohomecar__Chxky2S_feuAcRvsAAjZQV4VlGQ376.png,18.58,25.58
嘉际,4.50,669,https://g.autoimg.cn/@img/car3/cardfs/series/g25/M05/CC/36/436x333_autohomecar__ChtliGMYQzmAQU44AAiYxfY9lRU035.png,10.97,11.97
海马7X,4.49,542,https://g.autoimg.cn/@img/car2/cardfs/series/g24/M0A/A6/07/436x333_autohomecar__ChwFjl8s6aSAbV_FAA1-1K30QW4926.png,12.98,16.38
途睿欧,4.55,434,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M0A/4D/A6/436x333_autohomecar__ChxknGRUc7SAD0BjAAXDWZxy-5A225.png,21.96,26.00
瑞风RF8,4.57,390,https://g.autoimg.cn/@img/car3/cardfs/series/g25/M00/4F/94/436x333_autohomecar__CjIFV2WFaASABEULAAZVmJ_YkTo280.png,16.99,20.99
大通G90,4.62,358,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M01/A3/63/436x333_autohomecar__ChwFlGIxUs2ACW3pAAu2rttC0cI809.png,19.99,38.39
途安,4.49,325,https://g.autoimg.cn/@img/car3/cardfs/series/g27/M0A/E0/9C/436x333_autohomecar__ChxkmWSiOJWAHKhxAAmv3KTFBZU077.png,16.68,19.58
大通G20,4.49,284,https://g.autoimg.cn/@img/car2/cardfs/series/g21/M07/81/CB/436x333_autohomecar__ChsEdl_R-UWAQRxdAAophFHvET8130.png,16.88,26.28
大通G70,4.50,258,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M03/A8/5A/436x333_autohomecar__Chtlx2VbJHmALtKzAAb3BBYE9LM403.png,14.98,20.48
风行游艇,4.86,227,https://g.autoimg.cn/@img/car3/cardfs/series/g29/M00/5D/1C/436x333_autohomecar__ChwFk2HmHZ6AYGdtAAls3P2zAEM488.png,11.99,15.69
奔腾M9,4.43,198,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M09/6E/A6/436x333_autohomecar__ChxkmmQULrKALDRwAApkOSQXLbI817.png,22.98,24.98
风光370,4.41,38,https://g.autoimg.cn/@img/car3/cardfs/series/g29/M03/E1/B2/436x333_autohomecar__wKgHJFtIa0eAahHAAAVx8HthwWs115.png,4.99,7.09
